Draw Date:,Draw_Number:,_1,_2,_3,_4,_5,_p
SatAug302014,146,05,52,28,59,31,27
WedAug272014,145,24,17,45,46,26,19
SatAug232014,144,52,28,36,32,35,31
WedAug202014,143,21,40,08,38,04,03
SatAug162014,142,07,08,17,59,48,09
WedAug132014,141,37,08,40,52,39,24
SatAug092014,140,34,12,31,51,03,24
WedAug062014,139,49,01,08,24,28,24
SatAug022014,138,12,46,44,47,26,29
WedJul302014,137,49,13,30,53,42,29
SatJul262014,136,38,39,28,24,30,16
WedJul232014,135,22,12,04,31,10,03
SatJul192014,134,10,53,17,25,45,09
WedJul162014,133,05,32,26,18,15,35
SatJul122014,132,23,07,02,03,51,26
WedJul092014,131,09,55,42,25,57,14
SatJul052014,130,34,58,24,36,57,11
WedJul022014,129,58,18,53,08,45,35
SatJun282014,128,56,08,12,43,34,09
WedJun252014,127,50,53,10,20,25,35
SatJun212014,126,41,06,54,05,37,26
WedJun182014,125,06,52,59,29,09,07
SatJun142014,124,33,54,42,09,45,30
WedJun112014,123,14,25,33,18,49,23
SatJun072014,122,58,30,35,28,59,15
WedJun042014,121,22,07,01,10,49,24
SatMay312014,120,34,15,48,27,31,01
WedMay282014,119,24,02,28,32,59,25
SatMay242014,118,55,15,49,16,28,18
WedMay212014,117,20,34,58,04,39,31
SatMay172014,116,32,23,47,39,49,22
WedMay142014,115,55,07,52,33,39,33
SatMay102014,114,41,47,55,31,04,01
WedMay072014,113,48,31,17,49,29,34
SatMay032014,112,15,05,46,49,16,26
WedApr302014,111,09,02,19,50,11,32
SatApr262014,110,30,03,22,07,33,20
WedApr232014,109,29,48,36,19,25,12
SatApr192014,108,35,06,51,05,29,21
WedApr162014,107,42,34,59,39,44,08
SatApr122014,106,26,45,14,55,54,20
WedApr092014,105,49,14,48,09,44,29
SatApr052014,104,26,11,21,34,33,29
WedApr022014,103,19,22,13,53,08,24
SatMar292014,102,03,12,27,38,02,17
WedMar262014,101,33,41,59,44,28,21
SatMar222014,100,55,13,28,58,31,15
WedMar192014,099,34,23,43,19,02,14
SatMar152014,098,34,05,51,02,58,09
WedMar122014,097,28,54,14,15,37,10
SatMar082014,096,14,24,32,41,10,30
WedMar052014,095,26,03,09,07,54,19
SatMar012014,094,03,08,25,47,30,13
WedFeb262014,093,42,11,12,38,17,02
SatFeb222014,092,13,02,54,14,03,04
WedFeb192014,091,17,49,54,35,01,34
SatFeb152014,090,09,23,02,14,21,03
WedFeb122014,089,52,49,36,57,44,01
SatFeb082014,088,54,37,34,25,24,29
WedFeb052014,087,08,57,17,59,32,24
SatFeb012014,086,12,15,38,05,27,07
WedJan292014,085,47,23,11,28,32,20
SatJan252014,084,57,08,55,12,18,02
WedJan222014,083,55,02,07,01,09,29
SatJan182014,082,38,14,13,19,31,25
WedJan152014,081,29,08,09,07,24,25
SatJan112014,080,54,15,48,33,10,34
WedJan082014,079,39,28,58,47,10,22
SatJan042014,078,19,58,37,20,41,14
WedJan012014,077,52,48,15,24,40,23
SatDec282013,076,56,51,35,44,08,18
WedDec252013,075,38,56,28,39,23,32
SatDec212013,074,36,51,45,25,40,08
WedDec182013,073,39,07,40,24,37,01
SatDec142013,072,33,41,25,14,32,34
WedDec112013,071,10,18,19,01,13,27
SatDec072013,070,45,13,48,32,20,17
WedDec042013,069,09,06,11,44,31,25
SatNov302013,068,26,05,45,44,57,29
WedNov272013,067,57,25,18,55,50,17
SatNov232013,066,12,52,55,43,05,10
WedNov202013,065,32,04,45,23,18,07
SatNov162013,064,29,37,59,10,44,10
WedNov132013,063,31,05,55,50,56,09
SatNov092013,062,37,56,03,49,09,32
WedNov062013,061,49,01,05,10,15,22
SatNov022013,060,27,40,13,23,24,17
WedOct302013,059,54,02,49,36,40,10
SatOct262013,058,56,06,04,34,49,29
WedOct232013,057,47,34,23,31,03,13
SatOct192013,056,33,09,56,54,57,05
WedOct162013,055,03,42,26,34,28,28
SatOct122013,054,10,58,26,57,08,04
WedOct092013,053,09,38,03,33,19,18
SatOct052013,052,11,39,40,17,12,05
WedOct022013,051,06,51,42,04,25,17
SatSep282013,050,47,53,14,52,54,05
WedSep252013,049,49,07,17,53,02,23
SatSep212013,048,58,54,45,17,12,13
WedSep182013,047,07,10,35,32,22,19
SatSep142013,046,01,25,44,17,37,20
WedSep112013,045,19,33,42,52,11,33
SatSep072013,044,02,22,19,45,26,24
WedSep042013,043,02,45,26,09,47,11
SatAug312013,042,40,25,07,56,02,20
WedAug282013,041,32,19,07,09,06,13
SatAug242013,040,45,17,59,12,25,19
WedAug212013,039,30,48,42,46,40,23
SatAug172013,038,18,54,56,21,46,23
WedAug142013,037,17,43,11,04,51,20
SatAug102013,036,37,58,14,04,12,13
WedAug072013,035,58,05,25,59,30,32
SatAug032013,034,24,36,21,45,42,15
WedJul312013,033,08,24,59,39,49,05
SatJul272013,032,58,53,40,23,09,06
WedJul242013,031,44,29,54,40,09,07
SatJul202013,030,14,27,58,25,38,06
WedJul172013,029,22,01,42,38,34,17
SatJul132013,028,08,37,02,35,22,06
WedJul102013,027,55,45,31,30,59,27
SatJul062013,026,52,02,36,35,13,11
WedJul032013,025,40,06,51,29,03,04
SatJun292013,024,28,08,56,53,30,16
WedJun262013,023,01,46,39,33,18,33
SatJun222013,022,33,57,19,23,13,28
WedJun192013,021,57,47,46,52,07,17
SatJun152013,020,48,55,28,40,36,01
WedJun122013,019,22,16,42,23,55,32
SatJun082013,018,02,26,11,32,22,19
WedJun052013,017,04,36,26,33,55,32
SatJun012013,016,33,53,59,22,28,14
WedMay292013,015,49,14,09,17,57,02
SatMay252013,014,27,21,19,06,02,25
WedMay222013,013,31,35,41,09,57,26
SatMay182013,012,22,10,13,14,52,11
WedMay152013,011,02,34,11,41,26,32
SatMay112013,010,06,23,19,43,13,16
WedMay082013,009,21,57,26,22,30,27
SatMay042013,008,26,36,40,07,12,17
WedMay012013,007,31,22,55,26,54,18
SatApr272013,006,55,54,48,23,03,05
WedApr242013,005,09,59,31,56,19,02
SatApr202013,004,06,39,08,30,48,20
WedApr172013,003,58,18,48,13,36,28
SatApr132013,002,10,57,31,12,56,33
WedApr102013,001,40,01,52,36,53,20
